Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
U-2-OS	909776	bone	osteosarcoma	0
U-698-M	909777	blood	B_cell_leukemia	0
UACC-893	909778	breast	breast	0
UMC-11	909779	lung	lung_NSCLC_carcinoid	0
VM-CUB-1	909780	urogenital_system	Bladder	0
VMRC-RCZ	909781	kidney	kidney	0
WM-115	909784	skin	melanoma	0
WSU-NHL	909785	blood	lymphoid_neoplasm_other	1
YAPC	909904	pancreas	pancreas	0
YH-13	909905	nervous_system	glioma	0
ZR-75-30	909907	breast	breast	1
RCC10RGB	909974	kidney	kidney	0
KURAMOCHI	909975	urogenital_system	ovary	0
KM-H2	909976	blood	Hodgkin_lymphoma	0
HuO-3N1	909977	bone	osteosarcoma	0
OE19	910079	aero_digestive_tract	oesophagus	1
NCI-H838	910399	lung	lung_NSCLC_adenocarcinoma	0
Ramos-2G6-4C10	910401	blood	Burkitt_lymphoma	0
RPMI-8866	910544	blood	chronic_myeloid_leukaemia	0
QIMR-WIL	910545	blood	acute_myeloid_leukaemia	0
PSN1	910546	pancreas	pancreas	0
OAW-42	910548	urogenital_system	ovary	0
OE33	910549	aero_digestive_tract	oesophagus	0
CW-2	910554	digestive_system	large_intestine	1
CMK	910566	blood	acute_myeloid_leukaemia	0
CHP-126	910567	nervous_system	neuroblastoma	0
CGTH-W-1	910568	thyroid	thyroid	0
COLO-320-HSR	910569	digestive_system	large_intestine	0
ATN-1	910687	blood	lymphoblastic_T_cell_leukaemia	0
